sample	replicate	G.pulex	I.baltica	P.geometra	P.antipodarum	M.baltica	C.edule 	H.ventrosa	Marenzelaria	H.diversicolor	Chiranomidea
1	1	45	0	0	3	15	1	27	26	1	69
1	2	39	0	1	2	2	2	21	1	8	123
1	3	3	88	0	0	0	0	9	15	0	4
1	4	5	5	0	8	3	2	13	5	0	27
1	5	3	32	0	17	13	7	19	11	0	40
2	1	19	0	4	8	23	1	39	9	6	78
2	2	41	0	10	7	19	0	12	3	1	93
2	3	26	0	2	8	19	5	21	15	0	92
2	4	1	234	0	0	0	0	3	19	0	16
2	5	20	0	4	11	23	5	8	0	14	91
3	1	7	18	0	6	14	1	16	9	0	42
3	2	38	0	0	11	9	7	39	17	3	52
3	3	7	9	0	12	0	3	17	16	0	21
3	4	0	105	0	0	0	0	6	23	0	17
3	5	0	111	0	0	0	0	12	5	1	2
4	1	0	91	0	0	3	0	11	5	0	0
4	2	25	0	2	5	2	4	46	21	0	48
4	3	46	0	6	8	11	0	45	3	9	102
4	4	18	0	2	18	9	2	26	0	8	76
4	5	1	14	0	5	0	2	28	23	0	28
											
											
											
											
											
